Q [amu^1/2 A],U(Q) [eV]
-20,20.36642
-19,18.4257
-18,16.631005
-17,14.97118
-16,13.436255
-15,12.01733
-14,10.706445
-13,9.495795
-12,8.377785
-11,7.346165
-10,6.396345
-9,5.52476
-8,4.72842
-7,4.003975
-6,3.348165
-5,2.75817
-4,2.231495
-3,1.765935
-2,1.35956
-1,1.01069
0,0.71788
1,0.479925
2,0.29587
3,0.16492
4,0.086565
5.00E+00,0.06048
6,0.086565
7,0.16492
8,0.29587
9,0.479925
10,0.71788
11,1.01069
12,1.35956
13,1.765935
14,2.231495
15,2.75817
16,3.348165
17,4.003975
18,4.72842
19,5.52476
20,6.396345
21,7.346165
22,8.377785
23,9.495795
24,10.706445
25,12.01733
26,13.436255
27,14.97118
28,16.631005
29,18.4257
30,20.36642
