Q, E
30.66721918, 8.0902
29.860133, 7.5970
29.05306268, 7.0749
28.24612992, 6.5242
27.43911044, 5.9461
26.63197583, 5.3451
25.82507425, 4.7300
25.01797262, 4.1147
24.21096115, 3.5182
23.40387798, 2.9637
22.59690043, 2.4769
21.78991117, 2.0819
20.98281579, 1.7972
20.17570172, 1.6315
19.36884219, 1.5800
18.56169249, 1.6237
17.75463179, 1.7301
16.94772679, 1.8586
16.14061031, 1.9687
15.33347439, 2.0283
14.52663309, 2.0190
13.71945696, 2.0673
12.91240658, 1.9910
12.10544441, 2.0528
11.29841968, 1.9730
10.4913338, 2.0857
9.684370388, 2.4550
8.877289725, 3.1653
8.070184138, 4.3448
