Q [amu^1/2 A],U(Q) [eV]
-20,25.12508
-19,21.64675
-18,18.55652
-17,15.81749
-16,13.39641
-15,11.26341
-14,9.39151
-13,7.75634
-12,6.33575
-11,5.1096
-10,4.0594
-9,3.16825
-8,2.42061
-7,1.80226
-6,1.30007
-5,0.90207
-4,0.59723
-3,0.37552
-2,0.22769
-1,0.1454
1.78E-14,0.12096
1,0.14741
2,0.21836
3,0.32799
4,0.47096
5,0.64237
6,0.83775
7,1.05296
8,1.28422
9,1.52804
10,1.78122
11,2.04081
12,2.30409
13,2.56855
14,2.8319
15,3.09177
16,3.34674
17,3.59468
18,3.83399
19,4.06314
20,4.28077
